product_name,price_before,price_after,category,subcategory,description,image_url
Pheromone - Musk Al Tahara,,8,All Products,Body Care,"Pure Musk Al Tahara with attraction pheromones.
مسك الطهارة الطبيعي المركز المعزز بالفيرومونات لجذب وجاذبية استثنائية.",
Pheromone Body Oil,,13,All Products,Body Care,"Attraction body oil with pheromones fragrance.
زيت مرطب ومغذي ومعزز بالفيرومونات الجذابة لتعطير الجسم بنفحات ساحرة.",https://i.ibb.co/Gv9ckwDC/097-Pheromone-Body-Oil.png
Pheromone Intimate Perfume,,10,All Products,Body Care,"Intimate Pheromone Perfume to enhance natural confidence.
معطر وبخاخ الفيرومونات المثيرة للمناطق الحساسة لانتعاش وجاذبية دائمة.",https://i.ibb.co/3Lp9GQc/098-Pheromone-Intimate-Perfume.png
Pomegranate Intimate Wash,,12,All Products,Body Care,"Intimate Gel Wash with soothing pomegranate scent.
غسول الجل الملطف للمناطق الحساسة بمستخلص الرمان للتطهير والانتعاش.",https://i.ibb.co/YBYyhY4c/099-Pomegranate-Intimate-Wash.png
Roman Musk Body Oil,,12,All Products,Body Care,"Hydrating Body oil with scent of Roman Musk.
زيت ترطيب وتعطير الجسم برائحة المسك الروماني الفاخر والمنعش والأنيق.",https://i.ibb.co/xKcSv4RX/100-Roman-Musk-Body-Oil.png
Rose Musk Body Oil,,10,All Products,Body Care,"Hydrating Body oil with white musk and velvet roses.
زيت ترطيب وتعطير غني بمزيج مسك الروم وبتلات الورد الهادئة الرقيقة.",https://i.ibb.co/Vp0R0nkH/101-Rose-Musk-Body-Oil.png
Roses Intimate Gel,,8,All Products,Body Care,"Gentle care with roses smell to prevent dryness.
جل الورد الملطف والمنعش للمناطق الحساسة يمنع الجفاف والتهيج طبيعياً.",https://i.ibb.co/PsqpjYZ0/102-Roses-Intimate-Gel.png
Roses Musk Body Oil,,12,All Products,Body Care,"Nourishing oil with velvet roses and royal musk.
زيت ترطيب وتعطير مع بريق مخملي برائحة مسك الجوري لتعطير دائم للجسم.",https://i.ibb.co/bjJwfKNy/103-Roses-Musk-Body-Oil.png
Saad Oil - Hair Removal,,10,All Products,Body Care,"Saad Oil from Cyperus rotundus slows down hair regrowth naturally.
زيت السعد الطبيعي لمنع وتقليل نمو بصيلات شعر الجسم بعد الإزالة.",
Shimmer Baccarat Rouge Set,,30,All Products,Body Care,"Premium Shimmering Body oil + Body musk + Gel perfume.
مجموعة التعطير والتوهج اللامعة برائحة عطر باكارات روج الفخم.",https://i.ibb.co/ymrFvr5S/105-Shimmer-Baccarat-Rouge-Set.png
Silver Musk Body Oil,,12,All Products,Body Care,"Deep hydration and silver clean musk aroma.
زيت ترطيب وتعطير الجلد برائحة المسك الفضي الرائع للنظافة المطلقة.",https://i.ibb.co/5XLYZgKt/106-Silver-Musk-Body-Oil.png
Strawberry Body Butter,,8.5,All Products,Body Care,"Rich moisturizer with sweet strawberry scent.
زبدة ترطيب وتغذية فائقة لبشرة الجسم برائحة الفراولة المنعشة اللذيذة.",https://i.ibb.co/nMzXqkVq/107-Strawberry-Body-Butter.png
Strawberry Intimate Edible Oil,,13,All Products,Body Care,"Soluble edible oil, smooth and fruity strawberry flavor.
زيت ترطيب ومساج المناطق الحساسة القابل للتذوق بطعم الفراولة اللذيذة.",https://i.ibb.co/kV0t4XJm/108-Strawberry-Intimate-Edible-Oil.png
Stretch marks Oil,,12,All Products,Body Care,"Targeted treatment to fade stretch marks and scars.
زيت علاج وتخفيف الخطوط البيضاء والحمراء وعلامات تمدد الجلد بكفاءة.",https://i.ibb.co/QFkSzK2h/109-Stretch-marks-Oil.png
Sudanese Dalka,16,13,All Products,Body Care,"Sudanese ritual body scrub with sandalwood for soft skin.
الدلكة السودانية الأصلية بالصندل والمحلب لتقشير مذهل وتفتيح العروس.",https://i.ibb.co/sdc38jP8/110-Sudanese-Dalka.png
Tan Up Butter,,15,All Products,Body Care,"Get bronze golden tan with lightweight butter.
زبدة التان المرطبة لتسريع البرونزاج والحصول على لون ذهبي رائع ولامع.",https://i.ibb.co/YTpC2ppH/111-Tan-Up-Butter.png
Vanilla Body Lotion,,8,All Products,Body Care,"Perfumed body lotion with vanilla scent.
لوشن ترطيب فائق النعومة لتعطير وتغذية بشرة الجسم بالفانيلا الدافئة.",https://i.ibb.co/N2GcXvYH/112-Vanilla-Body-Lotion.png
Vanilla Body Oil,,12,All Products,Body Care,"Hydrating Body oil with French Vanilla fragrance.
زيت ترطيب وتعطير الجسم ومقاومة الجفاف برائحة الفانيلا الدافئة الأنيقة.",https://i.ibb.co/Rp3S0Cx7/113-Vanilla-Body-Oil.png
Vanilla Body Perfume,,12,All Products,Body Care,"Refreshing body splash with vanilla aroma.
بخاخ ومعطر سبلاش للجسم يدوم طويلاً برائحة الفانيلا الأنيقة والدافئة.",https://i.ibb.co/fzLx7Z58/114-Vanilla-Body-Perfume.png
Vanilla Diorama - Christian Dior,,9,All Products,Body Care,"Perfumed body makhmariya gel with Christian Dior scent.
مخمرية الجل لتعطير وتنعيم الجسم والشعر برائحة الفانيلا الفاخرة ديوراما.",
Vanilla Set Bundle,45,40,All Products,Body Care,"Full suite body care: Perfume, Lotion, Hair perfume, Body oil.
مجموعة التعطير المخملية برائحة الفانيلا الدافئة الفخمة للعناية المتكاملة.",https://i.ibb.co/9fWBK0G/116-Vanilla-Set-Bundle.png
Virgin Raw Coconut Oil,12,9,All Products,Body Care,"Pure virgin raw coconut oil for deep hydration.
زيت جوز الهند البكر المعصور على البارد المغذي العالي للشعر والبشرة.",https://i.ibb.co/WNB9jLT8/117-Virgin-Raw-Coconut-Oil.png
Vitamin C Body Oil,,12,All Products,Body Care,"Vitamin C helps diminish stretch marks under sun.
زيت كولاجين وتفتيح وترطيب الجسم المعزز بفيتامين سي لمقاومة العيوب.",https://i.ibb.co/932NfmN3/118-Vitamin-C-Body-Oil.png
Whitening Essence,,10,All Products,Body Care,"Power dark spot corrector to brighten skin texture.
سيروم خلاصة التفتيح وعلاج التصبغات والآثار للحصول على بشرة صافية.",https://i.ibb.co/sJvzwCYj/119-Whitening-Essence.png
Cookies Candles Set,10,8,All Products,Candles,"Cookie shaped decorative sweet candles.
مجموعة شموع شكل الكوكيز اللذيذة تعبق المكان برائحة المخبوزات الدافئة.",https://i.ibb.co/0ygYm8ZW/120-Cookies-Candles-Set.png
Ocean Candle Jar,7,5,All Products,Candles,"Scented jar candle with relaxing ocean vibes.
شمعة جرة معطرة برائحة نسيم المحيط المنعش والمهدئ للأعصاب في المنزل.",https://i.ibb.co/nM70XCX0/121-Ocean-Candle-Jar.png
3D Face Massager,7,5,All Products,Face Care,"Tighten facial skin and improve blood flow.
مدلك الوش اليدوي ثلاثي الأبعاد لشد ترهلات البشرة وتحفيز الكولاجين.",https://i.ibb.co/fVsgtRM3/122-3-D-Face-Massager.png
Aaker Fassi Powder,,13,All Products,Face Care,"Wild poppy powder to blush lips, cheeks naturally.
بودرة العكر الفاسي (دم الغزال) المغربي الأصلي لتوريد وتفتيح ناعم.",https://i.ibb.co/3LfWvZb/123-Aaker-Fassi-Powder.png
Anti-Blemish Natural Clay Mask,,8,All Products,Face Care,"100% organic green clay mask to reduce blemishes.
ماسك الصلصال الأخضر العضوي لتنظيف المسامات وتقليص حبوب وبقع الوجه.",
Charcoal Face Mask,,13,All Products,Face Care,"Formulated to detoxify pores and absorb excess sebum.
ماسك الفحم النشط والمنظف العميق للمسامات وسحب الأتربة والسموم الدهنية.",https://i.ibb.co/G3djWdTd/125-Charcoal-Face-Mask.png
Eyelash Booster,,8,All Products,Face Care,"Nourishes and strengthens eyelashes from root.
سيروم إنبات وتقوية وتكثيف الرموش والحواجب لحمايتها من التساقط.",https://i.ibb.co/HTtRWKww/126-Eyelash-Booster.png
Frankincense Oil (Lubban Al Zakar),,12,All Products,Face Care,"Natural collagen booster to tighten skin and circles.
زيت لبان الذكر الطبيعي كولاجين طبيعي لشد البشرة ومقاومة التجاعيد والآثار.",https://i.ibb.co/9mDpjRzR/127-Frankincense-Oil-Lubban-Al-Zakar.png
Pores Minimizer Serum,,10,All Products,Face Care,"visibly refines pores and controls oily roughness.
سيروم تقليص وتضييق مسام الوجه ومنع لمعان وتراكم الرؤوس السوداء.",https://i.ibb.co/Kj7NM25s/128-Pores-Minimizer-Serum.png
Salicylic Acid,,13,All Products,Face Care,"Salicylic acid cleanses pores and fights breakouts.
سيروم حمض الساليسيليك الفواح لتقشير المسام وعلاج البثور وحب الشباب.",https://i.ibb.co/rG9jHMXr/129-Salicylic-Acid.png
skin/beard/hair Derma Roller,,6,All Products,Face Care,"Derma roller stimulates hair and beard follicles.
ديرما رولر لتحفيز إنتاج الكولاجين وإنبات شعر الذقن والفروة والوش.",
Tea Tree Acne serum,,12,All Products,Face Care,"Acne combat serum with pure tea tree oil extract.
سيروم شجرة الشاي الطبيعي المهدئ والمنظف للمسامات وعلاج عيوب البشرة.",https://i.ibb.co/nq0Tm1wq/131-Tea-Tree-Acne-serum.png
Man Mint Body Scrub,14,11,All Products,Flash Sale,"2-in-1 facial mask and refreshing mint scrub.
مقشر وصنفرة النعناع المنعشة للرجال لتقشير عميق وتنظيف البشرة والجلد الميت.",https://i.ibb.co/cKp8PRQ7/132-Man-Mint-Body-Scrub.png
Rosemary Organic Shampoo,10,8,All Products,Flash Sale,"Rosemary sulfate free shampoo to control hair fall.
شامبو إكليل الجبل العضوي الخالي من السلفات لإنبات الشعر ومقاومة التساقط.",https://i.ibb.co/8nNbGDLg/133-Rosemary-Organic-Shampoo.png
Strawberry Lip Scrub,6,4,All Products,Flash Sale,"Sweet strawberry lip scrub to lighten dark lips.
مقشر وسنفرة الشفاه بالفراولة اللذيذة لإزالة الجلد الميت ومنحها حيوية ونعومة.",https://i.ibb.co/qFpzqDqd/134-Strawberry-Lip-Scrub.png
Hugo Boss,,9,All Products,Gentlemen,"For Man. Scent of Hugo Boss. French makhmariya body gel.
مخمرية الجل لتعطير وتنعيم الجسم برائحة عطر هوغو بوس الأنيق للرجال.",
Hugo Boss Man Body Lotion,,12,All Products,Gentlemen,"Royal body lotion wrapping in bold Hugo Boss scent.
لوشن ترطيب وتعطير الجلد للرجال برائحة عطر هوجو بوس الرجالي الفواح.",https://i.ibb.co/v4vczYDS/136-Hugo-Boss-Man-Body-Lotion.png
Invictus,,9,All Products,Gentlemen,"For Man. Scent of Paco Rabanne Invictus. Body perfume gel.
مخمرية الجل المعطرة لترتيب وتنعيم الجسم برائحة انفيكتوس المنعشة الرياضية.",
Le male - Jean Paul Gaultier,,9,All Products,Gentlemen,"For Man. Body perfume gel Le Male.
مخمرية الجل لتعطير الجسم برائحة عطر لي مال جون بول غوتييه الرجالي الفخم.",
Man - Musk Al Tahara,,5,All Products,Gentlemen,"Pure Intimate white musk for men care, 6ml.
مسك الطهارة الأبيض النقي الفاخر والمنعش الخاص بالرجال واليومي.",
Man Intimate Gel Wash,,13,All Products,Gentlemen,"Gentle daily cleanser designed for man intimate care.
غسول الجل المعقم والمقوي للمناطق الحساسة للرجال لمنع البرازيل والتهيج.",https://i.ibb.co/LzDb91RZ/140-Man-Intimate-Gel-Wash.png
Mont Blanc Legend,,9,All Products,Gentlemen,"For Man. Makhmariya body gel perfumed. Scent of Mont Blanc.
مخمرية الجل الموضعية الأنيقة للجسم الرجالي برائحة مونت بلانك ليجند الكلاسيكي.",
Naxos,,9,All Products,Gentlemen,"For Man. Scent of Xerjoff Naxos. Luxe body gel.
مخمرية الجل الفاخرة لتعطير وتنعيم الجسم برائحة ناكسوس الملكية الرائعة.",
Oud Masculine,,9,All Products,Gentlemen,"For Man. Scent of masculine Royal Oriental Oud.
مخمرية الجل المعطرة والفاخرة للجسم برائحة عطر العود الملكي المذهل للرجال.",
Sauvage,,9,All Products,Gentlemen,"For Man. Scent of Christian Dior Sauvage. Body gel perfume.
مخمرية الجل فائقة التعطير والجاذبية برائحة عطر سوفاج ديور الرجالي الشهير.",
Stronger with you,,9,All Products,Gentlemen,"For Man. Scent of Armani Stronger With You.
مخمرية الجل لتعطير وتنعيم بشرة الرجال برائحة سترونجر ويذ يو الدافئة.",
Tobacco Oud,,9,All Products,Gentlemen,"For Man. Scent of Tobacco Oud Tom Ford.
مخمرية الجل لتعطير الجسم برائحة توباكو عود توم فورد الغامضة والذكورية.",
Afghan Cannabis Oil,,12,All Products,Hair Care,"Afghan Cannabis Oil supports hair growth and volume.
زيت الحشيش الأفغاني الأصلي لإنبات وتكثيف وتطويل وتقوية بصيلات الشعر.",https://i.ibb.co/39MfN4BK/147-Afghan-Cannabis-Oil.png
Aker Fassi Oil,,10,All Products,Hair Care,"Aker Fassi oil to increase hair shine and strength.
زيت العكر الفاسي الطبيعي لتقوية بصيلات الشعر وزيادة حيويته ولمعانه.",https://i.ibb.co/v4LyQq0B/148-Aker-Fassi-Oil.png
Almond Oil,,8,All Products,Hair Care,"Almond Oil moisturizes skin and supports hair strand growth.
زيت اللوز الحلو الطبيعي المتكامل لعناية ترطيب وتفتيح البشرة وتقوية الشعر.",https://i.ibb.co/6cPpZsxb/149-Almond-Oil.png
Argan Oil,,10,All Products,Hair Care,"Virgin Argan Oil, deep conditioner repairs strands and shine.
زيت الأركان المغربي النقي الأصلي لعلاج تقصف وتلف وهياج ولمعان الشعر الفائق.",https://i.ibb.co/NgMq2HLC/150-Argan-Oil.png
Avocado Oil,,10,All Products,Hair Care,"Rich in antioxidants, reduces scalp flakiness, repairs split ends.
زيت الأفوكادو الطبيعي الغني بالمغذيات لترطيب وتنعيم فك تشابك خصلات الشعر.",https://i.ibb.co/gFrN58Cp/151-Avocado-Oil.png
Batana Oil,,13,All Products,Hair Care,"Batana oil thickens hair and prevents dryness and damage.
زيت باتانا العجيب والنادر الغني بفيتامين E لتكثيف وتطويل وعلاج بهتان الشعر.",https://i.ibb.co/nNfnG9GW/152-Batana-Oil.png
Batana Oil Hair Soap,,12,All Products,Hair Care,"Cleanses and strengthens hair with Batana oil.
صابونة زيت باتانا الطبيعي لتغذية وتنظيف الشعر وبناء جذور قوية.",https://i.ibb.co/RGWgGmrr/153-Batana-Oil-Hair-Soap.png
Black Seed Oil,,8,All Products,Hair Care,"Black seed oil repairs skin and boosts hair thickness.
زيت حبة البركة الطبيعي الممتاز لتقوية الجذور وزيادة كثافة ولمعان خصلات الشعر.",https://i.ibb.co/HDTZWh45/154-Black-Seed-Oil.png
Candy Apricot Hair Perfume,,10,All Products,Hair Care,"Refreshes hair and tames frizz with apricot candy odor.
معطر وعطر الشعر برائحة المشمش والسكاكر اللذيذة خالي من الكحول يمنع النفشة.",https://i.ibb.co/mFXx6jzH/155-Candy-Apricot-Hair-Perfume.png
Caramel Hair Perfume,,10,All Products,Hair Care,"Refreshes hair and tames frizz with sweet caramel scent.
عطر ومعطر الشعر برائحة الكراميل الحلوة والدافئة تمنح شعراً معطراً ومنعشاً.",https://i.ibb.co/CKB2JVzX/156-Caramel-Hair-Perfume.png
Chebe Hair Oil,,12,All Products,Hair Care,"Traditional Chadian Chebe Oil to reduce hair breakage.
زيت الشيبي التشادي التقليدي لترطيب عميق وحماية أطراف الشعر وتطويله.",https://i.ibb.co/rGLHn3rt/157-Chebe-Hair-Oil.png
Chebe Powder,,12,All Products,Hair Care,"African traditional Chadian herbs, retain hair length.
بودرة الشيبي التشادية الأصلية المغذية المذهلة لإطالة وتكثيف وتنعيم الشعر.",https://i.ibb.co/s9746t5c/158-Chebe-Powder.png
Cherry Blossom Hair Wax Stick,,5,All Products,Hair Care,"tames frizz and tames flyaways with cherry blossom scent.
شمع وإصبع واكس تثبيت وتصفيف خصلات البيبي هير والشعر المتطاير بنعومة.",https://i.ibb.co/SwcHbj5K/159-Cherry-Blossom-Hair-Wax-Stick.png
Coconut Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with sweet coconut scent.
معطر وعطر الشعر اللطيف برائحة جوز الهند وزيوت اللمعان الطبيعية الساحرة.",https://i.ibb.co/qFR1bYLp/160-Coconut-Hair-Perfume.png
Dandruff Hair Oil,,10,All Products,Hair Care,"Dandruff Oil fights flakes, soothes itchiness.
زيت علاج القشرة الطبيعي الفعال للتخلص من تهيج الفروة وضمان لمعان نظيف.",https://i.ibb.co/d4NQrqgJ/161-Dandruff-Hair-Oil.png
Exotic Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with premium exotic floral mist.
عطر ومعطر لمصايد الشعر برائحة فواكه استوائية وزهور غريبة مذهلة.",https://i.ibb.co/6cQy5Dnp/162-Exotic-Hair-Perfume.png
Follicle Fuel Solution,,20,All Products,Hair Care,"Stimulates follicles to fill in thinning hair gaps.
سبراي بخاخ فوليكل فيول لإنبات الفراغات وتكثيف الشعر في الفروة والذقن.",https://i.ibb.co/Lz2QmV7S/163-Follicle-Fuel-Solution.png
Golden Hair Serum,,12,All Products,Hair Care,"Lightweight serum with chia and rosemary. Redues frizz.
سيروم الذهب لتنعيم وترطيب خصلات الشعر وحمايته من التقصف والتكسر.",https://i.ibb.co/PzhLSWFj/164-Golden-Hair-Serum.png
Hair Fuel Growth Oil,,15,All Products,Hair Care,"Rosemary, Afghan, and linseed oils boost hair growth.
زيت هير فيول المغذي الفعال ممزوج بإكليل الجبل وزيوت نمو وتكثيف الشعر.",https://i.ibb.co/60WxWtsS/165-Hair-Fuel-Growth-Oil.png
Hair Magical Leave - In,,10,All Products,Hair Care,"Alcohol free, tames frizz, captivating musk trail.
كريم ليف إن المعالج الساحر للشعر لترطيب وتسهيل التصفيف برائحة المسك.",
Hair Protection Spray,,14,All Products,Hair Care,"Shields hair from UV damage and heat styling.
بخاخ حماية وتثبيت لون الشعر وحمايته من شمس لبنان وأضرار التسخين والاستشوار.",https://i.ibb.co/HDS3MKcc/167-Hair-Protection-Spray.png
Hair Repair Mask,20,16,All Products,Hair Care,"Honey, beeswax, and proteins repair dry damaged hair.
ماسك وحمام كريم العسل والبروتين المعالج الفعال للشعر شديد التلف والجاف.",https://i.ibb.co/x8mr7TvX/168-Hair-Repair-Mask.png
Hair Serum & Perfume - Raspberry,,12,All Products,Hair Care,"Treats damage hair, refreshes with raspberry smell.
سيروم العناية والتعطير المتكامل للشعر التالف برائحة التوت البري اللذيذة.",
Jasmine Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with sweet jasmine smell.
بخاخ ومعطر الشعر اللطيف برائحة الياسمين الطبيعي الفواح لتعطير يدوم.",https://i.ibb.co/ycNx9mww/170-Jasmine-Hair-Perfume.png
Jojoba Oil,,10,All Products,Hair Care,"Balances scalp natural oils and decreases dryness.
زيت الجوجوبا الطبيعي الذهبي لترطيب وتهدئة الفروة وعلاج تشابك الأطراف للشعر.",https://i.ibb.co/Zpcxg0GW/171-Jojoba-Oil.png
Moroccan Oil,,12,All Products,Hair Care,"Moroccan Argan oil, smooths dry strands.
زيت الأركان المغربي المطور للعناية المركزة وفرد تموجات وهيشان الشعر الجاف.",https://i.ibb.co/C3BjVHPH/172-Moroccan-Oil.png
Musk Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with pure clean white musk.
بخاخ وعطر الشعر الأنيق الخالي من الكحول برائحة مسك النظافة الفواح.",https://i.ibb.co/tppj4Jf7/173-Musk-Hair-Perfume.png
Oud Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with noble royal oud scent.
بخاخ وعطر مع معالجات لمعان الشعر برائحة العود الفخم المناسب للمناسبات.",https://i.ibb.co/VYdMJJ2N/174-Oud-Hair-Perfume.png
Passion Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with romantic passion scent.
بخاخ وعطر الشعر المفعم بالجاذبية بنفحات عطر الباشن الفاتن والمنعش.",https://i.ibb.co/ymBf2Fm9/175-Passion-Hair-Perfume.png
Pumpkin Seed Oil,,12,All Products,Hair Care,"Stimulates collagen, nourishes hair, skin, and nails.
زيت بذور اليقطين الطبيعي الغني بالمحفزات لإنبات وزيادة سمك وطول الشعر.",https://i.ibb.co/2YqgzfJh/176-Pumpkin-Seed-Oil.png
Rice Hair Essence,,8,All Products,Hair Care,"Rice Essence repairs hair color and growth.
سيروم خلاصة ماء الأرز لتغذية عميقة وتطويل وإعادة حيوية للشعر الجاف والتالف.",https://i.ibb.co/GQfQV1WD/177-Rice-Hair-Essence.png
Rosemary Oil,,8,All Products,Hair Care,"British Rosemary Oil promotes hair growth, controls fall.
زيت إكليل الجبل (الرزماري) البريطاني المحفز القوي لتنشيط الفروة وتطويل الشعر.",https://i.ibb.co/fs5RTzd/178-Rosemary-Oil.png
Scalp Scrub & Detox,,12,All Products,Hair Care,"Scalp scrub removes buildup, supports cell renewal.
صنفرة ومقشر الفروة المعقم بالملح لإزالة الدهون والقشرة المتراكمة وتطهيرها.",
Sidr Oil,,10,All Products,Hair Care," cedarwood properties fortify roots and reduce fall.
زيت السدر الطبيعي الشهير لإنبات وتكثيف وتنعيم بصيلات الشعر الضعيف والتساقط.",https://i.ibb.co/4w5dVH2b/180-Sidr-Oil.png
Sidr Powder,,10,All Products,Hair Care,"Natural Sidr powder cleanses hair, tames itchiness.
بودرة ورق السدر المطحون الطبيعي الغني بمغذيات تمديد وتكثيف اللمعان للشعر.",https://i.ibb.co/21HSm60c/181-Sidr-Powder.png
Snake Oil,,10,All Products,Hair Care,"Snake Oil strengthens strands and restores shine.
زيت الحية الفعال والقديم لتقوية ألياف الشعر ومقاومة الهياج والتقصف الشديد.",https://i.ibb.co/BHN5dJT8/182-Snake-Oil.png
Vanilla Hair Perfume,,10,All Products,Hair Care,"Refreshes hair with French Vanilla scent.
معطر وعطر الشعر برائحة مخمل بذور الفانيلا الحلو الدافئ لمنح شعرا عطر جداً.",https://i.ibb.co/dwvN5Cq3/183-Vanilla-Hair-Perfume.png
AloeVera Intimate Wash,,12,All Products,Intimate Care,"Intimate AloeVera Gel Wash provides gentle daily care.
غسول الجل الملطف للمناطق الحساسة بالألوفيرا الطبيعي للوقاية والترطيب.",
Eat - Me Intimate Edible Gel - Caramel,,8,All Products,Intimate Care,"Tasty, kissable gel for playful, intimate moments. Caramel scent.
جل التعطير والترطيب للمناطق الحساسة القابل للتذوق بطعم الكراميل الغني.",
Eat - Me Intimate Edible Gel - Chocolate,,8,All Products,Intimate Care,"Tasty, kissable gel for playful, intimate moments. Chocolate.
جل لترطيب وتعطير ومساج الحميمي القابل للتذوق بطعم الشوكولاتة الداكنة.",
Eat - Me Intimate Edible Gel - Mango,,8,All Products,Intimate Care,"Tasty kissable gel designed for playful passion with mango.
جل الترطيب المعطر المثير للمناطق الحساسة بطعم المانجو الاستوائي اللذيذ.",
Eat - Me Intimate Edible Gel - Strawberry,,8,All Products,Intimate Care,"Tasty, kissable gel for playful, intimate moments. Strawberry.
جل تلطيف وتعطير وترطيب الحميم القابل للتذوق بطعم الفراولة الشهية.",
Brow Styling Wax,,5,All Products,Lips, Eyebrows And Lashes,"Eyebrow styling wax locks brows with 3D styled look.
واكس تثبيت وتصفيف ورسم الحواجب ثلاثي الأبعاد الشفاف للمظهر المرتب.",https://i.ibb.co/nNbP91kM/189-Brow-Styling-Wax.png
BubbleGum Lip Scrub,,6,All Products,Lips, Eyebrows And Lashes,"Gently exfoliates, smooths, and hydrates the lips with bubblegum smell.
مقشر وصنفرة الشفاه برائحة علكة الفقاعات للتخلص من التشققات وتنعيم الفم.",
Castor Oil,,10,All Products,Lips, Eyebrows And Lashes,"Castor Oil boosts hair follicle growth in eyebrows.
زيت الخروع النقي لإنبات وتكثيف وتطويل الرموش والحواجب الباهتة بكفاءة.",https://i.ibb.co/q3nqfMCB/191-Castor-Oil.png
Eyebrow Growth Serum,8,6,All Products,Lips, Eyebrows And Lashes,"Strengthens and moisturizes eyebrow hairs.
سيروم معزز ومغذي بصيلات شعر الحواجب لإطالتها وحمايتها من السقوط.",https://i.ibb.co/vCFwgz2Z/192-Eyebrow-Growth-Serum.png
Lip Balm Filler,,7,All Products,Lips, Eyebrows And Lashes,"Plumps and hydrates lips, giving a full smoother finish.
مرطب كولاجين فيلر الشفايف لتفتيح وترطيب الفم ومنح مظهر ممتلئ وناعم.",https://i.ibb.co/chjntsdR/193-Lip-Balm-Filler.png
Lips & Cheeks Tint,,8,All Products,Lips, Eyebrows And Lashes,"Long lasting matte lip & cheeks tint, vegan.
تنت مورد الشفاه والخدود السائل العضوي الثابت للحمرة الطبيعية والنعومة.",
Mango Lip scrub,,6,All Products,Lips, Eyebrows And Lashes,"Exfoliates, smooths, and hydrates the lips with mango scent.
مقشر وسنفرة تفتيح الشفاه برائحة المانجو الاستوائية والمغذية لوز الجفاف.",https://i.ibb.co/0yBnXqSY/195-Mango-Lip-scrub.png
Pink Lip Balm,,6,All Products,Lips, Eyebrows And Lashes,"Moisturizes and nourishes with a rosy pink tint.
مرطب الشفايف الطبيعي المغذي لتوريد كرزي وحمايتها من الجفاف لتنعيم الفم.",https://i.ibb.co/bgkCY5Qm/196-Pink-Lip-Balm.png
Red Lip Balm,,6,All Products,Lips, Eyebrows And Lashes,"Moisturizes and nourishes with a bright red tint.
مرطب الشفايف المغذي بالكرز الأحمر الجذاب واللامع لشفاه حمراء جذابة ممتلئة.",https://i.ibb.co/fVX31wf9/197-Red-Lip-Balm.png
Rose Bonbon Lip Tint,,6,All Products,Lips, Eyebrows And Lashes,"Nourishing polish from natural flowers, oils, and butters.
مورد ومرطب الشفايف روز بونبون المصنوع من زبدة الزهور الفاخرة للنعومة.",https://i.ibb.co/Q3LQ85yK/198-Rose-Bonbon-Lip-Tint.png
212 VIP,,9,All Products,Makhmaria,"French elegance with Gulf touch body perfume gel. Scent of 212 VIP.
مخمرية الجل لتعطير وتنعيم الجسم برائحة 212 في آي بي الأنيقة الطيارة.",
Acqua Di Gio,,9,All Products,Makhmaria,"Body perfume gel with Giorgio Armani Acqua Di Gio scent.
مخمرية الجل المعطرة والمرطبة للجسم والشعر برائحة اكوا دي جيو المنعشة.",
Alien,,9,All Products,Makhmaria,"Perfumed body gel with Mugler Alien scent to soothe and soften.
مخمرية الجل لتعطير الجسم برائحة عطر الين الهادئ والمميز الفواح.",
Ana L Abyad,,9,All Products,Makhmaria,"Perfumed body gel with Ana L Abyad scent.
مخمرية الجل الشرقية الأنيقة لتعطير الجسم برائحة عطر أنا الأبيض اللطيفة.",
Armani Code Woman,,9,All Products,Makhmaria,"Perfumed body gel with Armani Code scent.
مخمرية الجل لتعطير وتنعيم الجسم برائحة عطر أرماني كود الأنيق للنساء.",
Asad Oud Masculin,,9,All Products,Makhmaria,"Perfumed body gel with Lattafa Asad Royal scent.
مخمرية الجل الملكية عالية التعطير برائحة عطر أسد الفخر والعود الذكوري.",
Azzarro Chrome,,9,All Products,Makhmaria,"Perfumed body gel with Azzaro Chrome scent.
مخمرية الجل الأنيقة والعصرية لتعطير الجسم برائحة كروم عزارو المنعش.",
Baccarat Rouge,,10,All Products,Makhmaria,"Perfumed body gel with Maison Francis Kurkdjian Baccarat Rouge 540 scent.
مخمرية الجل لتعطير وتنعيم بشرة الجسم برائحة باكارات روج الفخمة الممتازة.",
Black Opium,,9,All Products,Makhmaria,"Perfumed body gel with YSL Black Opium scent.
مخمرية الجل لتعطير وتنعيم الجسم برائحة عطر بلاك أوبيوم الفواح والمثير.",
Black XS - Paco Rabane,,9,All Products,Makhmaria,"Body gel with Black XS scent.
مخمرية الجل الأنيقة المعطرة للجسم برائحة بلاك اكس اس الحلوة والذكورية.",
Bleu de Chanel,,9,All Products,Makhmaria,"Body gel with Bleu de Chanel scent.
مخمرية الجل الفاخرة لتعطير وتليين مناطق الجسم برائحة بلو دي شانيل الشهير.",
Blue Electric,,9,All Products,Makhmaria,"Body gel perfume with Blue Electric scent.
مخمرية الجل المعطرة للجسم والشعر برائحة بلو الكتريك المنعشة والمثيرة.",
